Name,Handle,Profile Link,Follower Count
Abhinandan Sarkar,abhinandan__sarkar,https://www.instagram.com/abhinandan__sarkar,
Abhishek Ghosh,thefoodgambler,https://www.instagram.com/thefoodgambler,
Adrija,awwdrijaa,https://www.instagram.com/awwdrijaa,
Adrija Ghoshal,adrija.gal,https://www.instagram.com/adrija.gal,
Afrin Mustafi,afrin.mustafi,https://www.instagram.com/afrin.mustafi,
Ahana Roy,ahana8243,https://www.instagram.com/ahana8243,
Aishwarya Sen,aishwarya.sen.9,https://www.instagram.com/aishwarya.sen.9,
Amrita,amritadebnath___,https://www.instagram.com/amritadebnath___,
Ananyyaa Biswas,iamanannyaabiswaas,https://www.instagram.com/iamanannyaabiswaas,
Angela Saha,engela.saha,https://www.instagram.com/engela.saha,
Anindita Das,silent__daydreamer,https://www.instagram.com/silent__daydreamer,
Ankita Mallick,_ankita_mallick_,https://www.instagram.com/_ankita_mallick_,
Anulipee Ghosh,anulipee_ghosh,https://www.instagram.com/anulipee_ghosh,
Anupurba Bose,hey.anuupurba,https://www.instagram.com/hey.anuupurba,
Anusmita Dutta,miss_dutta1,https://www.instagram.com/miss_dutta1,
Baishakhi Dutta,gorgeous_junk_55,https://www.instagram.com/gorgeous_junk_55,
Bani Biswas,baaani___,https://www.instagram.com/baaani___,
Bhubaneswar Food Blogger,_.moodyfoody._,https://www.instagram.com/_.moodyfoody._,
Bihu Ghosh,bangaliflavours,https://www.instagram.com/bangaliflavours,
Borini Chakraborty,borninichakraborty_official,https://www.instagram.com/borninichakraborty_official,
Chef Neha Dipak Shah,nehadeepakshah,https://www.instagram.com/nehadeepakshah,
Debadri Bishnu,foodie_banker1,https://www.instagram.com/foodie_banker1,
Debaparna,debaparna_paul_chowdhury,https://www.instagram.com/debaparna_paul_chowdhury,
Debjani Banerjee,_debjani_banerjee,https://www.instagram.com/_debjani_banerjee,
Dipanwita Nath,dipanwitaa_nath,https://www.instagram.com/dipanwitaa_nath,
Dipanwita Rakshit,dipanwitarakshit,https://www.instagram.com/dipanwitarakshit,
Dr. Pramita Sen,mrignaini_007,https://www.instagram.com/mrignaini_007,
Ena Saha,ena1996gemini,https://www.instagram.com/ena1996gemini,
Gargi,gargi_gangopadhyay,https://www.instagram.com/gargi_gangopadhyay,
Garima Banka,garima_banka,https://www.instagram.com/garima_banka,
Heena Aftab,unseen_miracles,https://www.instagram.com/unseen_miracles,
Indrakshi Dey,indraksshidey_official,https://www.instagram.com/indraksshidey_official,
Joyeeta Banerjee,joyeetabanerjee11,https://www.instagram.com/joyeetabanerjee11,
Kamelia Roy,thealwayshungrylady,https://www.instagram.com/thealwayshungrylady,
Kheyali Mondaal,kheyali_mofficial,https://www.instagram.com/kheyali_mofficial,
Lokasree Dutta,ratri__003,https://www.instagram.com/ratri__003,
Manpreet Singh,manpreetverse,https://www.instagram.com/manpreetverse,
Megha Dasgupta,megha.dasgupta,https://www.instagram.com/megha.dasgupta,
Miss Mahotra,shuchi_malhotra,https://www.instagram.com/shuchi_malhotra,
Mousumi Guha,abong_mousumi,https://www.instagram.com/abong_mousumi,
Neeru,neeru_starlet,https://www.instagram.com/neeru_starlet,
Nidhi,nids_style_secret,https://www.instagram.com/nids_style_secret,
Nimah Lamha,nimah_lamah,https://www.instagram.com/nimah_lamah,
Oishi Roy Chowdhury,_kolkatacravings_,https://www.instagram.com/_kolkatacravings_,
Olivia Malakar,oliviamalakar,https://www.instagram.com/oliviamalakar,
Olivia Mandal,oliviaaaa.m_,https://www.instagram.com/oliviaaaa.m_,
Pallabi Guha,pallabiguha,https://www.instagram.com/pallabiguha,
Pooja And Arijit,lady_from_90s,https://www.instagram.com/lady_from_90s,
Pragya Mukherjee,p_r_a_g_y_a_08,https://www.instagram.com/p_r_a_g_y_a_08,
Pramita Ghosh,cuteparamita,https://www.instagram.com/cuteparamita,
Prapti Chowdhury,prapti_chowdhuryy,https://www.instagram.com/prapti_chowdhuryy,
Prarona Bhattacharjee,iamprarona,https://www.instagram.com/iamprarona,
Preeti Sarkar,prettysheis.official,https://www.instagram.com/prettysheis.official,
Priyanka Biswas,pri_yankabiswas22,https://www.instagram.com/pri_yankabiswas22,
Priyanka Bysac,priyanka_bysack,https://www.instagram.com/priyanka_bysack,
Priyanka Tiwari,_priyankatiwari,https://www.instagram.com/_priyankatiwari,
Priyasree Mukherjee,priyarsee_mukherjee,https://www.instagram.com/priyarsee_mukherjee,
Punam Mohanty,____.punam._____,https://www.instagram.com/____.punam._____,
Rakshita,rakshitasatpute,https://www.instagram.com/rakshitasatpute,
Reema,reema98___,https://www.instagram.com/reema98___,
Renu And Suraj,0foodgasm0,https://www.instagram.com/0foodgasm0,
Richa Sharma,richaa_13,https://www.instagram.com/richaa_13,
Rikhia Roy Chowdhury,rikhia_rc,https://www.instagram.com/rikhia_rc,
Rimpa Roy,_rimparoy1official_,https://www.instagram.com/_rimparoy1official_,
Riya Mallick,mallick_riya9,https://www.instagram.com/mallick_riya9,
Roja,_vibeswith.roja_,https://www.instagram.com/_vibeswith.roja_,
Rooqma Ray,rayrooqma,https://www.instagram.com/rayrooqma,
Roshni Chakraborty,roshni_chakraborty_,https://www.instagram.com/roshni_chakraborty_,
Roshni Sharma,roshni_24_official,https://www.instagram.com/roshni_24_official,
Rutuja Bhagwat,theprettycitygirl,https://www.instagram.com/theprettycitygirl,
Samragngi Roy,samragngi_roy,https://www.instagram.com/samragngi_roy,
Sanandita Saha,____sana_saha00____,https://www.instagram.com/____sana_saha00____,
Sandipta Sen,sandiptasen,https://www.instagram.com/sandiptasen,
Satyajit,satyajit_siliguri,https://www.instagram.com/satyajit_siliguri,
Sayani Pradhan,sayani_pradhan,https://www.instagram.com/sayani_pradhan,
Sayena,scrumptious.siliguri,https://www.instagram.com/scrumptious.siliguri,
Sherya Singh,shreyhaha_,https://www.instagram.com/shreyhaha_,
Soham Sinha,kolkatadelites,https://www.instagram.com/kolkatadelites,
Sohini Guha Roy,sohiniguharoy_official,https://www.instagram.com/sohiniguharoy_official,
Sohini Sourajit,_sohini_sourajit,https://www.instagram.com/_sohini_sourajit,
Sonika Chauhan,storiesofsonika,https://www.instagram.com/storiesofsonika,
Sreejita,missgastronomic,https://www.instagram.com/missgastronomic,
Srijoni Chatterjee,srijonichatterje,https://www.instagram.com/srijonichatterje,
Srishti Mukherjee,shrishtea_,https://www.instagram.com/shrishtea_,
Sristi Pradhan,shrewiish,https://www.instagram.com/shrewiish,
Subarna Majumder,mountaingirl_subarna,https://www.instagram.com/mountaingirl_subarna,
Subhashree Khandal,subhashreekhandai,https://www.instagram.com/subhashreekhandai,
Subhasmita Bal,onlythessb,https://www.instagram.com/onlythessb,
Sukanya Dutta,wowsukannya,https://www.instagram.com/wowsukannya,
Sulagna Dey,sulagnaaa.dey,https://www.instagram.com/sulagnaaa.dey,
Sunitee Siddiqui,_hotmess_mama,https://www.instagram.com/_hotmess_mama,
Susmita Das,dsusmita,https://www.instagram.com/dsusmita,
Susmitha Deb,officialsusmitadeb__,https://www.instagram.com/officialsusmitadeb__,
Suvo Jit,suvlogging,https://www.instagram.com/suvlogging,
Sweta Patra,_vibing.high_,https://www.instagram.com/_vibing.high_,
Tanurima Hazra,tanurimahazra,https://www.instagram.com/tanurimahazra,
Tithi Basu,c_h_i_r_p_s,https://www.instagram.com/c_h_i_r_p_s,
 Ira Chauhan,ira_chauhan12,https://www.instagram.com/ira_chauhan12,
Tripti Guha,triptiggupta,https://www.instagram.com/triptiggupta,
Trisha Ganguly,trisha_gunja_ganguly,https://www.instagram.com/trisha_gunja_ganguly,
